id,name,phone,gender,income,address_street,address_state,address_zipcode
0,CHAN,5468846388,Female,566110,8061 BREE BLVD,OH,56930
1,ZINA,3167613558,Female,325528,2389 DAREN LN,NJ,79804
2,ZOILA,2332073689,Female,795284,1308 HOLLI AVE,IN,23199
3,RODRIGO,4921352636,Male,609363,7915 STEVIE LN,NJ,18163
4,VICTORIA,9990534204,Female,910899,6634 CINDIE DR,NY,90202
5,DENNY,4738645480,Male,230348,9398 ROSARIO ST,MA,81170
6,DARRELL,9560821406,Male,947595,8422 KATHE RD,NJ,82255
7,DWAYNE,7646208106,Male,884030,8952 RAQUEL LN,IN,87020
8,GLEN,6948105125,Male,633613,4066 ALENE ST,PA,34475
9,FREDDY,3046685052,Male,124187,2233 MARIA RD,NH,80857
10,FLORENTINA,6476988737,Female,546586,5955 QUINCY BLVD,IL,25119
11,WARD,4629580546,Male,284841,365 OCTAVIA RD,CT,38896
12,JEAN,6723199197,Male,885546,1118 RANDELL ST,CT,38675
13,MAN,1317814271,Male,160488,3188 ANTONETTA LN,NH,61276
14,FERNANDO,9746237203,Male,52687,3288 SHERRI DR,NH,72814
15,KYLE,9687785011,Male,476293,1762 LYNNETTE RD,PA,19433
16,KARL,2872900585,Female,94007,8351 LING RD,IL,23227
17,MIKI,6151193902,Female,405972,7804 CASSAUNDRA ST,CT,98164
18,TRAVIS,5990554745,Male,585193,4207 JED LN,OH,97242
19,NEWTON,8221045514,Male,973821,9424 JALEESA BLVD,RI,56812
20,LOUIE,3967061162,Male,510199,1395 KASSANDRA DR,NY,81345
21,CARY,7364398875,Male,669773,4816 INGA LN,RI,91405
22,VAUGHN,3795305861,Male,31598,9841 LULA DR,VT,30981
23,DEWITT,2779861933,Male,451807,9397 MILA DR,CT,16131
24,FREDERICK,5972225972,Male,583200,8083 JI LN,NY,15100
25,DIEGO,8893019639,Male,82278,6901 SANDY LN,RI,20940
26,DEMETRIA,5238366006,Female,451335,6940 SHARONDA RD,PA,11873
27,SHARON,3628786113,Female,229711,2048 SHAYNE DR,PA,49638
28,DOMINIC,5725240091,Male,925419,6599 TULA RD,NY,46007
29,PHOEBE,8994479911,Female,169901,8633 SANA DR,VT,25087
30,JESUS,4656046886,Female,74352,766 KELLIE DR,NJ,83184
31,ADAN,8109725063,Male,776961,7614 RORY AVE,VT,80507
32,BOOKER,7816652151,Male,39329,2368 RUTH BLVD,VT,54238
33,NANNIE,3665190898,Female,73204,4517 SHEILA ST,IL,47949
34,BENEDICT,5851770892,Male,150477,7932 LIDIA RD,NJ,33538
35,CHERIE,6594927879,Female,906147,5482 NOEL AVE,NH,23028
36,MARIELLE,7330801769,Female,911693,5730 TYRELL AVE,NH,75239
37,ALVARO,7719422170,Male,875276,1524 STERLING RD,PA,38974
38,KENNETH,5716202719,Male,613505,8603 TAWANA AVE,OH,86662
39,AWILDA,2816934709,Female,416223,3706 AISHA LN,MA,66521
40,CHRISTIAN,4015084887,Male,976875,8714 MALIKA DR,PA,25585
41,HARLEY,1628587760,Male,237586,7610 EDEN BLVD,IN,29835
42,AHMED,8215242184,Male,950289,8639 BRANDA DR,VT,75331
43,PRUDENCE,4999960623,Female,40176,5674 ARIANA BLVD,NY,78826
44,DEMETRIUS,3020487407,Male,868803,1486 RENETTA RD,NH,39503
45,RAPHAEL,8919725084,Male,376653,2732 MARY DR,OH,58669
46,ROSETTE,9734322848,Female,125050,8586 MIESHA RD,CT,65884
47,ILSE,9472031345,Female,916562,6466 TOBIE LN,PA,12684
