id,name,phone
0,GEORGANN,9537571713
1,UN,7358284224
2,ZOFIA,4434918437
3,CLAYTON,8850813407
4,ALBINA,5907021559
5,LARONDA,6412821487
6,ROZANNE,8911478439
7,CRISTINA,3975333601
8,TESHA,2958479200
9,HILMA,9005442893
10,RUBIN,6622570211
11,EDITH,6193962071
12,ANTONIA,5998636290
13,NETTIE,1683691483
14,JAMAR,9309077366
15,LEOMA,6525943557
16,GENEVA,5557308083
17,NISHA,2593839522
18,ALEXANDER,6414071288
19,CHARLYN,7981917056
20,GIL,4474785484
21,LONNIE,4441418797
22,DEE,7121408893
23,DIVINA,9949072468
24,CHARMAINE,7637852445
25,NANCY,1173226011
26,DONTE,5416014966
27,RONA,4063512562
28,ISIAH,1829157120
29,LINDY,2728464296
